*This is the set of extensibility queries which can be run on either Microsoft or test tenant user accounts - see Enterprise/src/CopilotPluginMocks for DA manifests and setup instructions*	Utterance	Segment	gpt_name	CIQ	annotation
TestTenantOrMsit	Who are the team members who have worked on the NLP accuracy issue from repository John-Doe-TypeB/QOS-Testing?	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Are there any service incidents impacting EY?	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	Generate dossier PPT for Thomson Reuters	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	Get me overview of Accenture	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	How is Accenture usage doing?	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	What is license conversion funnel for PWC?	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	What is the latest feedback from Visa?	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	What is the usage for Microsoft?	OpenAPI - TypeB	KYC Mock DA	ciq	"[]"
TestTenantOrMsit	Get current weather for Atlanta GA	OpenAPI - DataVerse	Msnweather Mock DA	ciq	"[]"
TestTenantOrMsit	Get current weather forecast for Atlanta GA in imperial units	OpenAPI - DataVerse	Msnweather Mock DA	ciq	"[]"
TestTenantOrMsit	Get weather forecast for today in winnipeg	OpenAPI - DataVerse	Msnweather Mock DA	ciq	"[]"
TestTenantOrMsit	Get weather forecast for tomorrow in winnipeg	OpenAPI - DataVerse	Msnweather Mock DA	ciq	"[]"
TestTenantOrMsit	Show me the revenue of the Fabrikam Residences account	OpenAPI - DataVerse	Prompt Account Revenue Mock DA	ciq	"[]"
TestTenantOrMsit	What is the annual revenue of  Account 'Fabrikam Residences'	OpenAPI - DataVerse	Prompt Account Revenue Mock DA	ciq	"[]"
TestTenantOrMsit	Retrieve the currently scheduled HR training programs	OpenAPI - DataVerse	Prompt Emp Training Mock DA	ciq	"[]"
TestTenantOrMsit	Show me all the HR training programs	OpenAPI - DataVerse	Prompt Emp Training Mock DA	ciq	"[]"
TestTenantOrMsit	Retrieve the currently scheduled HR leave requests	OpenAPI - DataVerse	Prompt Leave Request Mock DA	ciq	"[]"
TestTenantOrMsit	Show me all the HR leave requests	OpenAPI - DataVerse	Prompt Leave Request Mock DA	ciq	"[]"
TestTenantOrMsit	Return the orders with the highest amounts	OpenAPI - DataVerse	Prompt Orders Mock DA	ciq	"[]"
TestTenantOrMsit	Which 2 orders have the highest amounts?	OpenAPI - DataVerse	Prompt Orders Mock DA	ciq	"[]"
TestTenantOrMsit	Retrieve all existing safety trainings	OpenAPI - DataVerse	Prompt Safety Training Mock DA	ciq	"[]"
TestTenantOrMsit	Retrieve the upcoming safety trainings	OpenAPI - DataVerse	Prompt Safety Training Mock DA	ciq	"[]"
TestTenantOrMsit	Find all sales leads	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	Find all sales opportunities	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	Find cinemas in Seattle WA	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	Hi, could you give a short introduction?	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	What is the latest on SalesAssist case number 00001001?	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	What meetings do I have next Thursday?	OpenAPI - TypeB	Sales Assist Mock DA	ciq	"[]"
TestTenantOrMsit	Show me all messages in my network	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	Show me messages sent on october 11, 2023	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	Show me messages that came from 18446961340	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	Show me messages to this phone number +18446961340	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	View messages	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	were any messages sent from +12798088102 on October 10, 2023?	OpenAPI - DataVerse	Twilio Mock DA	ciq	"[]"
TestTenantOrMsit	Are there any accounts in europe?	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	Primary contact for Alpine ski house	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	What is the account name associated with Paul Cannon?	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	What is the email for Susan Burk	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	What is the phone number for Blue Yonder Airlines?	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	Who is primary contact for Fourth Coffee?	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	Who is the key contact at the account Coho Winery in Phoenix?	Dataverse	Dataverse Search Mock DA	ciq	"[]"
TestTenantOrMsit	Find cinemas in Redmond WA	Instructions Only	Motivational Coach Mock DA	ciq	"[]"
TestTenantOrMsit	Hi, please introduce yourself!	Instructions Only	Motivational Coach Mock DA	ciq	"[]"
TestTenantOrMsit	When is my next meeting?	Instructions Only	Motivational Coach Mock DA	ciq	"[]"
TestTenantOrMsit	Can you get the high priority tickets assigned to Joni Sherman & provide me a table with the ticket Id, Title, Assigned to, Priority, Due Date & Status?	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find bug related to date formatting	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find issues related to fabrikam	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find issues related to fabrikam in form of a table	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find issues related to phoenix	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find tickets related to Product catalog	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Search bugs which are pending since one week	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Search for issues related to Zephyr in sprint Alpha	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Show low priority story	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Show me all the tasks due this month related to social media whose assignee is Amber Rodriguez	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Show me all the tickets related to Mobile in the project Copilot Validation Check	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Show tasks that are completed	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	What are high priority tickets	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	What are the pending issues in project MEinBizChat	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	What issues do I need to work on?	Message Extensions - Projected DAs	TestJR - Jira Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find matters associated to legalease	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Find matters related to keyboard	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Find matters related to monitor	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Find matters related to Phoenix	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Give me android matters from	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Rechercher des sujets liés à Copilot	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	search matters related to copilot	Message Extensions - Projected DAs	TestLT LawToolBox Plugin	ciq	"[]"
TestTenantOrMsit	Find mural created by me in the last 1 year	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find mural related to daily scrum	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find Murals created last month	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find Murals related to brainstorm	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Find Murals related to openAI updated in the last 2 months	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	find toolkit template	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Give me templates with grid	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	search mural related to collaboration	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Show template for planning	Message Extensions - Projected DAs	TestMR - Mural Mock Plugin	ciq	"[]"
TestTenantOrMsit	Are there any items created in last 6 months and related to "sales"?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	find item related to hero	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Find item related to imported apples	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Find items related to pricing	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Is there a item for motor	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Quais itens foram criados na semana passada?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	search item related to fabrikam	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Show me items related to sales review updated last month	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Show me tasks related to marketing	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	What are the items owned by bizchatuser?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	what are the overdue tasks?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	What items were created last week?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Which items are created last week and due date in one month?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Which items are related to headsets and due date in one week?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Who owns item related to Garfield?	Message Extensions - Projected DAs	TestPM Priority Matrix Plugin	ciq	"[]"
TestTenantOrMsit	Find task related to phoenix	Message Extensions - Projected DAs	TestTR - Trello Mock Plugin	ciq	"[]"
TestTenantOrMsit	Get my incomplete cards in the To do list	Message Extensions - Projected DAs	TestTR - Trello Mock Plugin	ciq	"[]"
TestTenantOrMsit	Look for tasks related to copilot drafting	Message Extensions - Projected DAs	TestTR - Trello Mock Plugin	ciq	"[]"
TestTenantOrMsit	Draft an email sharing the data of OKRs related to customer service 	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	Find okr with status closed	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	find okrs related to budget	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	Give me OKRs assigned to Rohit Bhatia	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	search okr related to telemetry	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	Show me OKRs related to copilot extensibility which are at risk	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	Which OKRs are we lagging behind in Delight team	Message Extensions - Projected DAs	TestVG Viva Goals Plugin	ciq	"[]"
TestTenantOrMsit	Find interesting activities near me this weekend	Web Search	Web Search GPT Mock DA	ciq	"[]"
TestTenantOrMsit	Find shopping malls in Seattle WA and their operating hours	Web Search	Web Search GPT Mock DA	ciq	"[]"
TestTenantOrMsit	Hello, could you introduce yourself?	Web Search	Web Search GPT Mock DA	ciq	"[]"
TestTenantOrMsit	When is my upcoming meeting?	Web Search	Web Search GPT Mock DA	ciq	"[]"
