Scenario Name,Product Area,Type,User Question,Expected Response  (in demo data),Multi-Turn Conversation Pattern,Contact alias,User Role,Ready for Review
Trial Balance,Record to report,,Take me from trial balance to the journal entries for GL account 1110 this period,Using USMF Jan 2026. Here are the journals linked to the vouchers contributing to GL account 1110. Opening the first journal.,Ask GL account plus period or confirm defaults → Retrieve voucher transactions for GL account → Map vouchers to journals → Return journals and open links → Suggest next action filter to top amounts,,,Yes
Trial Balance,Record to report,,Show me where the balance in GL account 6100 is coming from this period,Using USMF Jan 2026. This balance is driven by vouchers V 10231 V 10455 and their journal entries. Here is the standard drill path and the top links.,Ask GL account plus period or confirm defaults → Retrieve vouchers and journals → Present standard drill chain consistently → Offer next action open source docs,,,Yes
Trial Balance,Record to report,,Open the source documents for the largest postings to GL account 2010 this period,Using USMF Jan 2026. The three largest postings to GL account 2010 come from vendor invoices INV 04521 INV 04534 and a journal adjustment. Opening INV 04521.,Ask GL account plus period or confirm defaults → Retrieve vouchers ranked by amount → For top vouchers retrieve source document references → Open source documents → Suggest next action export list for audit,,,Yes
Trial Balance,Record to report,,"My trial balance does not balance for this period, what should I check first",Using USMF Jan 2026. I found 1 unposted journal dated in this period and 1 batch posting error. These are the first items to review because they can explain discrepancies between expected and calculated balances.,Ask legal entity and period or confirm defaults → Retrieve unposted items and posting failures within scope → Surface the most likely blockers with evidence → Suggest next action open the journal or error details,,,Yes
Trial Balance,Record to report,,"Before I recalculate, what do I need to verify for this period",Using USMF Jan 2026. Verify there are no unposted journals dated in this period and no batch posting errors. Here are the items currently open.,Ask legal entity and period or confirm defaults → Validate readiness checks across modules → Summarize open issues with links → Recommend next action clear or post then recalc,,,Yes
Trial Balance,Record to report,,Is there a posting failure affecting this period,Using USMF Jan 2026. Yes. A batch job ended with errors for journal GEN 04512. This journal is not fully posted and should be reviewed before recalculating trial balance.,Ask legal entity and period or confirm defaults → Retrieve failed posting jobs and map to journals → Return root cause candidate and link → Suggest next action fix and post,,,Yes
Trial Balance,Record to report,,"For audit, what trial balance snapshot should I reference for this period",Using USMF Jan 2026. The most recent trial balance snapshot for this period is snapshot ID TB 2026 01 created Jan 31 6 14 PM. It uses Current posting layer and Main account dimension set.,Ask period and audit intent or confirm defaults → Retrieve latest snapshot metadata → Present authoritative snapshot reference → Offer next action export or share snapshot ID,,,Yes
Trial Balance,Record to report,,What posted after the last trial balance snapshot for this period,"Using USMF Jan 2026. Since the snapshot created Jan 31 6 14 PM, 3 vouchers posted within the date range. Here are the vouchers and impacted GL accounts.",Ask period or confirm defaults → Retrieve latest snapshot timestamp → Retrieve postings after timestamp → Summarize deltas and impacted accounts → Suggest recalc or proceed,,,Yes
Trial Balance,Record to report,,Show me the journal entries for vouchers 000123 and 000124,Using USMF Jan 2026. Here are the journal entries linked to vouchers 000123 and 000124. Opening the first journal.,Ask voucher list → Retrieve voucher transactions for each → Return journal entry links → Suggest next action open source documents,,,Yes
Trial Balance,Record to report,,Give me a reconciliation summary for GL account 1110 for this period,Using USMF Jan 2026. GL account 1110 ending balance is X. Key drivers are the top 5 vouchers listed. This summary is based on the latest trial balance snapshot created Jan 31 6 14 PM.,Ask GL account plus period or confirm defaults → Retrieve snapshot and GL account balance → Retrieve top contributing vouchers and sources → Generate structured reconciliation summary → Suggest export or share,,,Yes
