Utterance	Segment
What exactly makes up the total February 2026 expense balance of 39,425.00	Trial Balance
What exactly makes up the total January 2026 expense balance of 25,070.00	Trial Balance
What specifically drove the 14,355.00 increase in expenses from January to February 2026	Trial Balance
Break down the 34,875.00 vendor invoice total in February 2026 by account	Trial Balance
Break down the 6,105.00 unposted vendor invoice exposure in February 2026	Trial Balance
Break down the 950.00 unposted GL journal exposure in February 2026	Trial Balance
What would February expenses be if all unposted items were posted before close	Trial Balance
What percent of February 2026 expenses are concentrated in the top five invoices	Trial Balance
Explain the composition of the 21,150.00 expense recorded in the second half of February	Trial Balance
Explain the composition of the 18,275.00 expense recorded in the first half of February	Trial Balance
Break down January 2026 expense into vendor versus GL journal sources	Trial Balance
Which account drove the majority of February’s growth and quantify it	Trial Balance
How much of February’s expense was posted after February 20 and break it down by account	Trial Balance
What is the total GL journal impact across both months and how is it distributed	Trial Balance
What is the cumulative YTD expense balance as of February 28, 2026 and how is it distributed by account	Trial Balance
How much of February’s total expense is concentrated in Promotional and what percentage does it represent	Trial Balance
How much of YTD expense is concentrated in Insurance and what percentage does it represent	Trial Balance
What is the cumulative vendor invoice total across both months and how many invoices make it up	Trial Balance
What is the total expense recorded during the final three business days of February 2026	Trial Balance
What is the difference between cumulative expense as of February 7 and cumulative expense as of February 28	Trial Balance
Which account experienced the largest single week-over-week increase in February	Trial Balance
What is the cumulative GL journal contribution to YTD expense and how is it allocated by account	Trial Balance
How much of February expense occurred before February 10 and what accounts drove it	Trial Balance
What is the variance between cumulative YTD vendor invoices and cumulative YTD expense balance	Trial Balance
What percentage of January expense was recorded after January 20, 2026	Trial Balance
What is the cumulative Training expense through February 14 and what percent of YTD does it represent	Trial Balance
What is the total impact of invoices greater than 3,000.00 across both months	Trial Balance
What is the average invoice size across both months combined	Trial Balance
How much of February Promotional expense was driven by the top three invoices	Trial Balance
What is the exposure if only unposted vendor invoices were posted without GL journals	Trial Balance
What is the exposure if only unposted GL journals were posted without invoices	Trial Balance
What percent of YTD expense is represented by the single largest invoice	Trial Balance
What is the cumulative expense balance as of February 10, 2026 and how does it compare to January 31, 2026	Trial Balance
What portion of February’s total expense was recorded in the final 5 days of the month	Trial Balance
What is the cumulative Promotional expense YTD as of February 15, 2026	Trial Balance
What is the cumulative Insurance expense YTD as of February 15, 2026	Trial Balance
What is the cumulative Training expense YTD as of February 10, 2026	Trial Balance
What is the dollar and percent difference between February first week and final week expenses	Trial Balance
What percent of YTD Promotional expense was recorded in February alone	Trial Balance
What percent of YTD Insurance expense was recorded in February alone	Trial Balance
What percent of YTD Training expense was recorded in February alone	Trial Balance
What is the total expense recorded during the first three days of February 2026	Trial Balance
What is the difference between cumulative expense through Feb 14 and cumulative expense through Feb 28	Trial Balance
What is the total expense recorded between January 10 and January 20, 2026	Trial Balance
What is the combined total of invoices posted on February 18 and February 24, 2026	Trial Balance
What is the cumulative vendor invoice total through February 7, 2026	Trial Balance
What is the difference between vendor invoice totals and expense totals through February 7, 2026	Trial Balance
What is the total February expense excluding Promotional	Trial Balance
What is the total January expense excluding Insurance	Trial Balance
What is the variance between cumulative YTD expense and cumulative YTD vendor invoices	Trial Balance
What is the average daily expense YTD through February 28, 2026	Trial Balance
What is the cumulative expense balance as of February 5, 2026 and how is it distributed by account	Trial Balance
What is the cumulative expense balance as of January 25, 2026 and what percent of January total does it represent	Trial Balance
How much of February expense was recorded before February 12 and what accounts drove it	Trial Balance
What is the variance between expense recorded through January 10 and expense recorded through February 10	Trial Balance
How much of February’s total expense occurred on three highest invoice days combined	Trial Balance
What is the cumulative Promotional expense recorded after February 15 and what percent of February Promotional does it represent	Trial Balance
What is the total expense posted on February 19, 2026 including GL journals	Trial Balance
What is the total expense impact of invoices between January 18 and January 22 inclusive	Trial Balance
What is the total February expense excluding the three largest invoices	Trial Balance
What is the variance between first half February and full February totals and what accounts explain it	Trial Balance
What is the cumulative expense balance as of February 3, 2026 and how is it allocated across accounts	Trial Balance
What is the cumulative expense balance as of February 8, 2026	Trial Balance
What is the cumulative expense balance as of February 12, 2026	Trial Balance
What is the cumulative expense balance as of February 18, 2026	Trial Balance
What is the cumulative Promotional expense as of February 8, 2026	Trial Balance
What is the cumulative Insurance expense as of February 8, 2026	Trial Balance
What is the cumulative Training expense as of February 8, 2026	Trial Balance
What is the difference between cumulative expense as of February 3 and February 8	Trial Balance
What is the difference between cumulative expense as of February 8 and February 12	Trial Balance
What is the difference between cumulative expense as of February 12 and February 18	Trial Balance
What percent of YTD expense was recorded after February 18	Trial Balance
What is the combined expense for January 5 and January 6	Trial Balance
What is the cumulative invoice impact on Promotional across both months	Trial Balance
What is the total invoice impact on Insurance across both months	Trial Balance
What is the total invoice impact on Training across both months	Trial Balance
What is the total expense recorded on February 24, 2026 and which accounts were impacted	Trial Balance
What is the cumulative expense recorded between February 18 and February 24	Trial Balance
What specifically explains the difference between cumulative expense through February 7 and cumulative vendor invoices through February 7	Trial Balance
What accounts for the 3,350.00 difference between YTD expense and YTD vendor invoice totals	Trial Balance
What is the composition of the 11,700.00 expense recorded Feb 22–28 by transaction type	Trial Balance
How much of February Promotional expense is concentrated in two largest Promotional invoices	Trial Balance
What is the detailed breakdown of expense recorded Feb 15–18 by account and transaction type	Trial Balance
What is the cumulative Promotional expense variance between Jan 31 and Feb 18	Trial Balance
What portion of February Insurance expense was posted in the final week	Trial Balance
What is the variance between cumulative vendor invoices and cumulative expense through Feb 12	Trial Balance
What is the total expense recorded Jan 26–Jan 31 and what percent of January total does it represent	Trial Balance
What is the combined impact of GL journals on Promotional across both months	Trial Balance
What is the combined impact of GL journals on Training across both months	Trial Balance
What is the combined impact of GL journals on Insurance across both months	Trial Balance
What is the difference between cumulative expense through Feb 5 and cumulative vendor invoices through Feb 5	Trial Balance
What is the total expense posted Jan 15–Jan 18 and how is it distributed	Trial Balance
What is the cumulative Training expense variance between Jan 31 and Feb 28	Trial Balance
What is the cumulative Insurance expense through February 20 and how does it compare to January total	Trial Balance
What is the cumulative Promotional expense through February 20 and what percent of YTD Promotional does it represent	Trial Balance
What is the total expense recorded between February 10 and February 15 and how is it allocated	Trial Balance
What is the difference between cumulative vendor invoices and cumulative expense through February 20	Trial Balance
What is the total expense impact of invoices greater than 2,500.00 in February	Trial Balance
What is the total expense impact of invoices below 1,000.00 in February	Trial Balance
What is the cumulative expense recorded January 1–January 18 and how is it distributed	Trial Balance
What percent of January expense occurred before January 15	Trial Balance
What is the cumulative Training expense recorded after February 15	Trial Balance
What is the total expense impact of all February GL journals and how are they allocated	Trial Balance
What is the cumulative Promotional expense variance between Feb 1–7 and Feb 8–14	Trial Balance
What is the cumulative Insurance expense variance between Feb 1–7 and Feb 8–14	Trial Balance
What is the total expense recorded January 20–January 25 and what percent of January total does it represent	Trial Balance
What is the total expense recorded February 26–February 28 and which accounts were impacted	Trial Balance
What is the variance between cumulative expense through Feb 15 and cumulative expense through Feb 20	Trial Balance
What is the average invoice size in February for invoices above 2,500.00	Trial Balance
What is the ratio of GL journal expense to vendor invoice expense in February	Trial Balance
What is the difference between total expense and total vendor invoices in February alone	Trial Balance
What is the cumulative YTD Promotional expense as of February 20 and how much remains for the rest of February	Trial Balance
What is the cumulative expense balance as of February 25, 2026 and how is it distributed by account	Trial Balance
What is the cumulative expense balance as of January 12, 2026 and what percent of January total does it represent	Trial Balance
What is the total expense impact of invoices dated February 8 through February 12	Trial Balance
What is the cumulative vendor invoice total as of February 25 and how many invoices does it include	Trial Balance
What is the difference between cumulative expense and cumulative vendor invoices as of February 25	Trial Balance
What is the total expense recorded January 22–January 28 and how is it distributed	Trial Balance
What is the percent change in cumulative expense between February 15 and February 25	Trial Balance
What is the total expense impact of GL journals dated after February 20	Trial Balance
What is the total expense impact of invoices dated January 3 through January 7	Trial Balance
What is the cumulative Training expense as of February 25 and how much of February remains	Trial Balance
What is the total expense recorded February 1–February 4 and how is it allocated	Trial Balance
What is the total invoice impact on Promotional dated after February 20	Trial Balance
What is the total invoice impact on Insurance dated after February 20	Trial Balance
What is the cumulative Promotional expense variance between February 8 and February 20	Trial Balance
What is the total expense recorded January 29–January 31 and what percent of January total does it represent	Trial Balance
What is the cumulative Insurance expense as of February 25 and how much of February remains	Trial Balance
What is the total expense impact of invoices between February 16 and February 20	Trial Balance
What is the total expense recorded January 1–January 3 and how is it allocated	Trial Balance
What is the percent of February total expense recorded before February 5	Trial Balance
What is the difference between cumulative expense through February 25 and full month February expense	Trial Balance
